,a,b
0,-27.556398945449544,-32.86321625205052
1,-27.08223800324795,-31.963956860217053
2,-26.539252443557753,-31.979115329625365
3,-26.08143001791711,-31.821826142696693
4,-26.29101506177758,-31.455418697281555
5,-25.686491252904126,-31.849442082954198
6,-25.791473656612116,-32.724773425513156
7,-25.300336651718073,-31.81306338986047
8,-24.762885133039553,-30.939135532713376
9,-24.803738442989527,-31.436267776937434
10,-25.714170791724733,-31.620908399102387
11,-25.497157156077435,-31.91674020868954
12,-24.804607809040633,-31.071726651694355
13,-25.782465604495165,-32.05824628853311
14,-26.740172131575115,-32.715924613632275
15,-27.27923756189127,-33.09795476488029
16,-27.58639473192946,-33.98273481714931
17,-27.126584786072655,-34.456124251298256
18,-26.51019771055512,-33.82267230550737
19,-25.833714465058907,-33.69642058601302
20,-25.26458634044002,-33.80746896010331
21,-24.353495509754534,-33.286025566048885
22,-23.62804944208332,-33.903164060954964
23,-24.248957656009857,-33.849464441344246
24,-23.95877622660882,-34.525659381779136
25,-23.113793547798586,-35.29534474183138
26,-23.024888392791404,-34.90346566328144
27,-23.264585994841305,-35.635266607022444
28,-22.464213323499404,-35.74723179877253
29,-22.419169210542435,-36.37649250486888
30,-22.477051921575423,-35.5864914487612
31,-23.357302349893438,-35.65463338426818
32,-22.505711890061615,-35.52649441067717
33,-23.131893312174814,-35.215805582772504
34,-22.64088670041166,-34.76290448814037
35,-22.30131627737724,-34.98653203814132
36,-22.50361091250763,-34.36817890908993
37,-23.023353300615366,-35.2318207098345
38,-22.19543257594563,-35.80402276532798
39,-21.5802326393791,-34.91891690045164
40,-20.934207439702377,-34.507465076897816
41,-19.981039305368796,-35.00862165092439
42,-19.727860048265715,-34.270691840084396
43,-19.660872583573198,-33.96027710459489
44,-20.573906512137576,-33.329040393489976
45,-19.654004333530253,-33.60957067322354
46,-19.427235120153288,-33.321149410973966
47,-19.0252548631472,-34.262056911132895
48,-18.747708311976886,-34.982551410057724
49,-19.19364708804239,-35.82603732810043
50,-19.72410083054696,-36.7057487936422
51,-19.312277192549466,-37.573322355609655
52,-19.45295649201996,-37.52428215638254
53,-19.42953372968322,-38.49853779714126
54,-19.22984133807627,-37.777282101353414
55,-19.742394072195474,-37.56159741652481
56,-19.90833112973485,-36.839477060160064
57,-19.667467083969797,-37.76512533168634
58,-19.2165503265588,-36.78041509959359
59,-19.8412830711576,-36.63010342997743
60,-19.141077985943312,-36.12097989154091
61,-19.784108074610458,-36.138691773680364
62,-19.401157394699695,-35.63507900939326
63,-19.988226230922116,-34.8205028791139
64,-20.870897361678832,-34.03837264895054
65,-21.01036975203277,-33.58749450262157
66,-21.71795626726725,-33.745454023413295
67,-22.261424480585227,-32.78771082245974
68,-21.859985497040427,-32.64376891457902
69,-21.13337807807867,-31.885512849602414
70,-20.169297335681552,-32.8717547741572
71,-19.641686285342004,-32.80351650576735
72,-20.445235348626102,-32.239788769356316
73,-20.593971958659367,-32.35306913651043
74,-20.86493592458059,-32.58838308731221
75,-21.237718741867834,-33.32940442176113
76,-21.69398974799304,-33.43373164807842
77,-21.907746828718285,-33.82192738770551
78,-21.255041339239842,-34.349176064321846
79,-20.695766058744763,-33.70327324733466
80,-20.94209206265601,-34.498275904362245
81,-21.320588086768936,-35.26830671909104
82,-20.95911546068658,-34.62642362300906
83,-20.509244606337948,-35.27287474734902
84,-20.53814100621261,-35.86294380808407
85,-19.92126434402519,-35.10927770398395
86,-19.459971186698592,-36.10428457453082
87,-20.002802139576442,-36.538433246364946
88,-20.85895674418643,-36.54038725622498
89,-20.998398680271844,-35.730641933846854
90,-20.49462970053252,-35.75481072800783
91,-19.831179597666935,-35.937622303246286
92,-18.86451855557376,-36.19309156821402
93,-18.269590122879453,-35.35245953764846
94,-17.883767142965464,-34.933563458606
95,-17.12388584774491,-34.59358873719947
96,-16.78388249697264,-34.2781382735207
97,-17.066061446413787,-34.85588761741276
98,-17.599581915656604,-35.68648340636854
99,-17.423738821895466,-34.73172577234185
100,-17.80117743081576,-34.08537105296238
101,-16.97400366369429,-34.585838739348105
102,-17.151816894737543,-34.22430681215556
103,-16.239102561598916,-34.72559674452772
104,-16.256488554402583,-34.3478847588178
105,-15.700984676885902,-33.964119937140055
106,-14.851838290239028,-33.011432084051584
107,-15.5805141783187,-32.37370512283364
108,-15.808130563935647,-33.36746256655227
